gene_symbol,Hox_3,Hox_5,Hox_2,Hox_1,Hox_4,No_hox_3,No_hox_2,No_hox_5,No_hox_1,No_hox_4
sqz,5.057889069936545,5.122520429192935,5.02543165445272,5.076948042771832,5.049412799527894,5.12343970985006,5.219032187303955,5.344747597846778,5.405937471093397,5.446960089051162
Alh,7.028238180988174,7.08665839729835,7.067754480961034,7.038477065829036,7.043136327527266,7.059807812495793,7.12882916391797,7.16012580844095,7.1978441049339725,7.159549971932773
sc,5.255714264769113,5.235822530741016,5.19524864690721,5.346708114792493,5.217735677580139,5.359653406964622,5.530869981586711,5.62071395610696,5.682716076498872,5.354290005429732
CG8765,4.7473499722550185,4.748666497624363,4.580949192045008,4.636180401152846,4.747885407386548,4.741176849703086,4.702415302809528,5.088812519020237,5.09882465808969,4.8082421784108575
CG12299,5.586769776243316,5.579492520823934,5.656763054839784,5.567797086978867,5.529336159976713,5.823830720613093,5.706786291925464,5.6580850155281714,5.6708519432158155,5.622393507809434
knrl,5.980724282892673,5.950558143279859,5.843181770641039,5.886010708415512,5.972829340537813,6.264970780446062,6.269089277116471,6.197665370091955,6.1718975728210195,5.901398145207041
Elba2,4.032292462466131,3.886237229954735,4.008312988126812,3.8035654086909445,3.926674272585406,4.340066430240771,4.347380586192782,4.1323626219163945,4.252615851461481,3.817686860574347
Mlf,7.4839818590492495,7.486701253990813,7.519697015935241,7.455566604477859,7.521019984253681,7.540882477050548,7.602520766344493,7.535852180823859,7.577233874824485,7.520771226374333
Brf,5.475984880739911,5.47912093682574,5.548661744073491,5.4284976731710755,5.456405413364926,5.627762884908249,5.706786291925464,5.52766732486515,5.64056078535285,5.57161611697987
Lim1,4.2029745662672005,4.526442935039709,4.4421344362227755,4.5111908749311365,4.533070392115155,4.9443535901483555,4.999580678323935,4.6480038624467905,5.09882465808969,4.705337726527547
ac,6.230985478112615,6.345111869278171,6.3769268084274655,6.28840743384936,6.363256963269632,6.812951755549556,6.673922868305114,6.642077881708959,6.740904936112892,6.394111304548609
CG5815,5.631628476798408,5.640533388312172,5.71149210298272,5.602452634409211,5.678694825399493,5.823830720613093,5.794960332321017,5.723169508484867,5.83553711338315,5.711164910603784
mtg,3.0076978535052232,3.224901997576074,3.050526185031156,3.228386023320061,2.8667231382543985,3.614575429137831,3.0820239792304456,3.368477390317093,3.5237775720753124,3.5618945280760164
Bap111,6.62424897325465,6.616579481897952,6.582962755980377,6.5881494547443396,6.5787340106752845,6.705188038674269,6.608299875245322,6.666905892943269,6.71813326889348,6.636753034162434
Skp2,6.6930500859383635,6.68425126481314,6.646170611072303,6.643021975938436,6.663972934986788,6.738346122225797,6.676110685058055,6.731643536522279,6.765169270421751,6.7650573298178
CG8565,2.9483598652286522,2.525770897334448,2.732810543074908,2.8425379347049766,2.6084076916093015,3.2888169371569953,3.158532268959526,3.0922105947061387,3.7096912952555137,3.7394740261331085
CG17359,5.370547102434965,5.2296826274054915,5.354060662160944,5.275500169043145,5.233108809862952,5.437464543179767,5.467053317455161,5.477682167932141,5.54375930561566,5.3939512162558785
exex,3.9231509634041175,3.7739545758565334,4.078879037685785,3.9359177861951977,3.6857657086886393,4.46633429752262,4.033767867883262,4.160087707146261,4.492488750321558,4.190211679515271
Nap1,8.23541017042751,8.291536032923506,8.265722587769986,8.281523407003974,8.258268993712171,8.32913327227971,8.31470675238679,8.307386901525046,8.27631542455772,8.301061286271729
CG12942,5.042947535941336,5.207891139127758,5.292371370666038,5.242487210600165,5.2601985704221175,5.437464543179767,5.474348527439704,5.336349178855766,5.374333595947219,5.483173814771995
ADD1,6.895792745325385,6.850780969379824,6.85748126918771,6.894381065048772,6.875560021195471,6.998867319915992,6.895059551241847,6.970308117004937,6.962173007078547,6.920170780222893
mip120,6.4920123737936235,6.450397786268529,6.465750380488922,6.466658684218047,6.469725595172327,6.610210969746303,6.522898152041994,6.62129530898713,6.554718718486942,6.484315595114758
run,6.1995222388789974,6.19628627462719,6.199820529290724,6.1617039365465125,6.199824467231379,6.274740262916764,6.169032379351553,6.420402003798271,6.2450812501619835,6.316826234086421
CG11788,5.983666694226063,5.927838122052919,5.903047048117758,5.92838775251249,5.900372065948821,6.062539515944055,5.968826744732502,6.1650621411194,6.040727643289632,6.049117682495434
CG16815,2.389854032150409,2.525770897334448,2.5257952900565748,2.6980533165254803,2.833661365585018,3.222484662364639,2.908833869608894,3.877594213735971,3.4713472232921863,3.0698154169676224
Six4,4.9188952969582695,5.12935247901898,5.066141984925932,5.143120623835352,5.0639717905366535,5.878277746427519,5.398884787853548,5.934128588905658,5.76204304228134,5.694029886726431
