gene_names,Hox_2,Hox_10,Hox_1,Hox_13,Hox_14,Hox_7,Hox_11,Hox_15,Hox_3,Hox_9,Hox_4,Hox_12,Hox_8,Hox_5,Hox_6,No_hox_3,No_hox_5,No_hox_14,No_hox_15,No_hox_10,No_hox_7,No_hox_12,No_hox_2,No_hox_4,No_hox_11,No_hox_1,No_hox_13,No_hox_6,No_hox_8,No_hox_9
vnd,5.627854951740914,5.574566500957406,5.48557824732566,5.493698888023821,5.463414494576717,5.685729818320696,5.558556203361438,5.656845930690389,5.587011764051252,5.580636567884902,5.7743675529859715,5.490993920767413,5.536103020358384,5.665095482474677,5.665456995734498,5.020881423539907,5.092768522407337,5.222303878902707,5.378870042390859,5.437603826877272,5.119871776479162,5.01805130207852,5.357306252486517,5.123757198222776,5.073585091710194,5.347197920802773,5.328421115947775,5.2029780845488665,5.243765792444962,5.0419704192211485
Dr,5.572297594309878,5.7039462747572145,5.554811336532501,5.668869313405762,5.590367931558946,5.750148619075387,5.67792214135121,5.7327725376262375,5.637122453017415,5.666289513552854,5.594075201982459,5.445498494642236,5.603727479889558,5.398249843068606,5.59906124294285,5.23093282990918,5.048595857014767,5.173184245038376,5.18143120799089,5.167643624690914,5.282855755074435,4.9745449374486235,5.240112241600052,5.074052044481249,5.087106146438884,5.185518898663872,5.231543027930448,5.293471473556517,5.174351668618758,4.999083251071431
HGTX,5.085147587099168,5.116095242582662,5.147663491326609,5.0109771169729544,4.979164570224178,4.984111765637703,5.025914911350398,4.968789155419276,5.008478229995711,5.118231783339017,4.931202688685395,5.039155222220534,4.939649076927392,5.121346058229002,5.062203338601005,4.654465341032194,4.623568416420198,4.932423288642632,4.871115053739887,4.698475831141385,4.724155763890076,4.723087800835097,4.791150919819222,3.867689027969287,4.717648009009439,4.735059648444287,4.746550150279457,4.416383466755702,4.230226964497625,4.544688998463101
TC005342,6.369516892046393,6.207037561979812,6.157044427182594,6.241244664937672,6.152579926670024,6.267719606986751,6.184154195258916,6.159803817185714,6.341822533315154,6.203294833853891,6.205261835005085,6.221963408947878,6.118234933648839,6.2825342646074205,6.252619196811025,5.94487029782698,5.961028151049275,5.706657857422144,5.7351563883488,5.376634894045671,5.782330953042497,5.641667236826102,6.006950362660763,5.123757198222776,5.647911585517675,5.386235483556106,5.927664592428432,5.515609662009485,6.009788095556678,5.7105986901310715
TC006788,5.088049256299947,5.121541924184577,5.035683378718712,5.082369049705263,5.192457325463212,5.207675524367983,5.117254676051785,4.984679148452172,5.37551150860495,5.1434709242076835,5.009933201666872,5.101006467258174,5.136275207128844,5.142220187316935,5.2534665880702045,5.063774737884783,4.885438281449206,4.738668213805772,4.802669519139754,4.589533578902806,4.594773634218043,4.622936736485344,4.859590111659665,4.412149239310228,4.501571625267173,4.509519736828383,4.543726883147808,4.3351800758770125,4.690881703089832,4.713646697832213
pnr,4.491834881502909,4.522166191056234,4.562892835634194,4.16212771378453,4.179032692565145,4.93207971116649,4.528629850421919,4.706588316418734,4.8096190518105875,4.491309926856918,4.609306265673764,4.580869751696055,4.5912601783410185,4.573388928095782,4.375367791200775,4.417805051285338,4.623568416420198,4.2141464842940906,3.8354272221129446,4.327914356236879,4.135380385055926,4.0002728403366214,3.7763661359842193,3.7787063775911585,3.6367502310901294,4.277588667556447,4.543726883147808,3.8785852853074725,3.9056622544674737,3.5738459252429586
ara,6.199845668876549,6.261481420518337,6.230505887676533,6.20309932313981,6.233890217587615,6.221211213159263,6.30019949385011,6.278109180029717,6.2263026425591255,6.063452464093084,6.085667562899757,6.290327201678329,6.130503257640955,6.208887461490548,6.324166392912325,6.153467776917369,6.085888040874233,6.137753964982213,5.991933931193163,6.0515894372850205,6.214491579632511,5.963986644147353,6.017396020702614,5.770435622093064,5.97235437560072,5.78376186741011,5.98248096934249,5.916837760296019,5.750234479560024,5.731881868003165
TC032451,6.190268239273155,6.109817368595601,6.0915907618697736,6.010240049040479,6.179216669732858,6.045669278453913,6.2880479176338815,6.1321660265086155,6.263224314916017,6.0960248168033555,6.078411411060131,6.050776116533483,5.967531334586183,6.126491681449036,6.1626151775480205,5.695958115380159,6.162878190566553,5.987951536642926,5.776127973272158,5.973962903387212,6.108846929889056,5.907303429863846,5.835561546194609,5.867192962822183,5.873413457032263,5.7642780020830875,5.857654111188814,5.6453833194359095,5.7366724160691405,5.666623228500281
vvl,5.600462050910242,5.601816284343384,5.696189617226145,5.553357896134283,5.650580697932258,5.517006264998168,5.604571590193065,5.694754978033343,5.654316826081704,5.61750820894213,5.667314018668145,5.6381775627005295,5.57048677467643,5.621288069039239,5.623405921677827,5.732471395328277,5.323298777972404,5.5205642758104005,5.655382842542583,5.48571719942089,5.518784281255493,5.321690010040399,5.471206896895826,5.205205949410272,5.728861997727691,5.486338608367069,5.4167372078325355,5.462246866966022,5.436331270325739,5.459205823496337
zfh1,6.979182452538394,7.024572163483564,7.029126724952198,6.8861112227541215,6.999725613698609,6.9237080841785055,7.065267074971684,6.908262526616388,6.918460960784573,6.98451625279192,7.046675814218666,6.983851432098322,6.988978971003563,6.922153495716988,6.9719283886355825,6.90055410991882,6.753566834943822,6.883578190453338,6.90130961481399,6.823099929515463,6.84550575752849,6.725123091877733,6.880982144273111,6.7453298205140895,6.749280287000431,6.966709087106146,6.647298837686091,6.852203040531063,6.759808407192883,6.818907400756703
Dsp1,8.001776421670261,8.02743216448946,7.971043398112004,8.041052092738896,8.037955409084583,8.017364374734615,7.971278116988414,7.991505918267363,8.012023166118105,8.013822700829458,8.014281254090541,7.9891141598093,8.001715067142007,8.048746192948402,7.994709296953251,7.9163703862554975,7.892536030249234,7.967750314755403,7.9608543978508015,7.875540905117219,7.940979038033188,7.845856674563869,7.922544595412517,7.95206823536119,7.926338807431386,7.9565150295729605,7.849263887033926,7.953898316248425,7.927214718697878,7.954751571330082
org-1,4.275413385554581,4.3320964413051195,4.315248577649937,4.327295617249767,4.158732381839971,4.105696621879409,3.536988672608728,4.3620393661037085,4.373500497064357,4.231771841840721,4.0945637456491895,4.293399896271252,4.159743576379517,4.02937426167801,4.184756858706465,3.3938580940227245,3.449721048014456,3.3970480766744773,4.337578487430442,3.2553499349709547,3.344248603863187,3.5015804057131463,3.005469666601951,3.8241871154332516,3.515092642732428,3.653858747961092,2.2468861871719086,3.505197457629028,2.9982220976861202,4.1892792070228415
