gene_names,Hox_5,Hox_3,Hox_1,Hox_2,Hox_4,No_hox_2,No_hox_3,No_hox_1,No_hox_4,No_hox_5
TC032655,4.926120890247817,4.965473805254636,4.9629522347008725,4.935036216699573,4.94960865893165,5.112073908402167,5.130502946881277,5.038969171902579,5.205686208045897,5.195844696180648
wor,7.394377951364201,7.436864879610858,7.418782966013725,7.385827238446421,7.431227556935104,7.589384952688554,7.5929463904718135,7.535607763861503,7.656722068055474,7.743919263635315
His2Av,9.518937827351035,9.504517403565288,9.544181147571418,9.524426740062014,9.498150974373893,9.573994440285446,9.570308950312944,9.521979501025486,9.598182609763926,9.61102578968718
Ets96B,2.9270184696136767,2.822545313710961,3.3810993509268434,2.541122939607899,2.64974254641975,3.2365806631797795,3.787850239936449,3.1312046876545816,4.20653180838267,4.132845934632961
tup,6.912416368174175,6.798686729331202,6.812821175177453,6.752801823403809,6.843108830913814,6.946955707468846,7.027969764011949,6.855764065327729,6.90057968159434,7.107659147854423
CG10336,5.032070667827203,4.918976850473225,4.998139240787326,5.01278186063906,4.984344760666351,5.18311736692819,5.420063258010347,5.053062529136163,5.169954859848346,5.314410599986494
gcm,5.286529503944126,5.248969580379606,5.247252650603281,5.098739650014361,5.198631687331243,5.45207801296352,5.6523359327384695,5.363379449835168,5.434735333926324,5.560893109752548
Hmx,4.321646216063654,4.394802205930786,4.383976208621619,4.137051974415668,4.14510548682832,4.908647554448891,4.954716149143818,4.578485592598218,4.736633263194666,4.741627629076174
Polr2F,7.124566415769555,7.092041236869269,7.1524849622581685,7.134490771465894,7.124944082173414,7.250432904051396,7.223153674811048,7.20471069716278,7.128238003239123,7.163737782523546
Pfdn2,7.472056595244536,7.451288275008569,7.471023431065082,7.4794572758369835,7.452492482466977,7.5945237583802525,7.6200532118134285,7.552990304172772,7.536852679589147,7.524569828151098
dpn,5.842003468513594,5.695027587847706,5.622751508389541,5.743766073681042,5.692577125047798,6.21076091382284,6.229650568627528,6.017519707030306,5.872342596756077,5.999474775897556
TC003355,3.9808492882318918,3.580631240289829,3.5813448208290835,3.77798349247192,3.883901260309487,4.335680306086677,4.443251935210167,4.0965785782783355,3.9549342557408615,4.388684755639076
SoxN,7.620291491915676,7.584172725788833,7.588448585466602,7.601232349069683,7.62679515009849,7.716910284177671,7.706466393428358,7.6110127320846965,7.640452764362713,7.662927425115964
fkh,5.3357336611043324,5.244069402093929,5.199582489542958,5.32395484832595,5.332098807401986,5.718818258907302,5.44978601072407,5.6395634313519025,5.557192178362799,5.450119765349623
TC005398,10.125811486597204,10.120552069328154,10.151023834332168,10.134904341217586,10.119765427382019,10.198455288451658,10.189681653952118,10.159950658208931,10.178659942769514,10.140882969407318
Rfx,6.306132806367133,6.355454626514622,6.355378735693985,6.306941654202338,6.30356114343096,6.7017738639566495,6.535691298310867,6.578377094603548,6.59953814787694,6.375505703225802
Polr2K,6.955235154698969,6.935704939309476,6.95526319626167,6.949528680498721,6.905007301540136,7.105994225520071,7.019879762942172,7.030963651593313,7.055506904609016,7.028304661626725
Polr2J,7.254708209578249,7.265347744605934,7.253638996086916,7.2797297858618935,7.238004037077341,7.41537318338467,7.316437016207783,7.2874467680780075,7.349851193645541,7.287670785885877
Sox15,5.263337740789028,5.075964997538004,5.099674204073269,5.182950432829964,5.0027951703073334,5.398248951452263,5.459500464176268,5.461059355099361,5.757909542625169,5.347402353849239
ac,6.19053960326832,6.204820536791879,6.193261493797092,6.194192518623395,6.185695676191103,6.2703044668745695,6.315378075902773,6.307258022338806,6.383243136610783,6.319812038082608
Dll,5.904467467929386,6.164552400743588,5.876998554893362,6.119888436793518,6.012889016108773,6.218907901489847,6.35563464513999,6.319164976072174,6.608209503841074,6.446446821961838
Rx,5.089523582467959,4.7922937009876785,4.812131887646472,4.2522591884370495,4.797173089932063,5.976813271303365,5.691421663332721,6.022840097052767,5.716657741748843,5.560893109752548
