gene_names,Nbs_type,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
TC001226,VNC,6.965836701235,6.95638249359074,6.93657251460446,6.9675504612549,6.97215468572856,7.01950301623175,6.98614659308093,6.9888887907992,7.00893636915331,6.97704019738643,6.8059296401961,6.9045858039463,6.84773291820128,6.92478862743665,6.92684182106915,6.91216429896301,6.96371700365495,7.00349011615392,6.95709303065373,7.00203894438129
TC001083,VNC,3.2959273906622,3.64580684098464,3.39746102840294,3.67758771745749,3.34690687190658,3.57012898235701,3.68525396014606,3.56497014908865,3.59536736194266,3.43960403624181,2.68107696056963,3.15278766724035,3.1618408510409,3.14512627411242,3.10271242583453,3.17784602178767,3.05550695645491,3.16024320020902,3.37986802808428,3.48457550412155
Dbx,VNC,4.94586257147895,5.1439073719675,4.91568745701397,5.16717845124889,5.10336286852656,4.89563419439979,5.06722848013875,5.1187336798383,4.95455429031383,5.2092787675083,4.23416514979926,4.69073389196588,4.84920240007907,4.66393262626802,4.69516664458649,4.55461880776995,4.92817816490113,4.94857008371523,4.69811179141637,4.91164910835679
TC015874,VNC,9.20453807232326,9.24081761027098,9.2062596687476,9.27793704124793,9.28311449622602,9.33601999969324,9.2348971439453,9.23431656901315,9.32272341650265,9.42725855612673,9.11027746632088,9.15185377163146,9.15320024906113,9.0247568490882,9.23437146109378,9.25046251690204,9.2047123336009,9.10044596566458,9.10686084995099,9.23735118696181
Pdp1,VNC,4.55360049531561,4.63522060531099,4.44743358383703,4.45543967389942,4.34774917401746,4.45124705195579,4.53313612829831,4.35112078130058,4.39231784510304,4.6475128049998,3.83591986776894,4.06080946157215,4.63242649788993,4.18430082997565,4.40404891164279,4.24828149546706,4.08509937961408,4.16221691371817,4.05584262609345,4.36904062409606
Cp190,VNC,6.70633406374814,6.73486747874417,6.75951861669674,6.79651308038631,6.7643362217241,6.80128176965032,6.73570693478438,6.78504253927705,6.76813127104457,6.77020648873484,6.64272005375794,6.61791858728632,6.73337850932408,6.74464743118366,6.72662078264762,6.73253574391798,6.70841349853111,6.72631318347042,6.59825213005991,6.71529898256769
al,VNC,5.67846837892269,5.70214576066227,5.90061249451996,5.68800191746726,5.83572583056332,5.6517554152892,5.63617328218003,5.55504264171401,5.85510696658713,5.85746675712077,5.8117989457125,5.08686400945055,5.44528400413385,5.32322431445285,5.45890731148552,5.52885228826818,5.71860276649088,5.88600300162629,5.3974540260499,5.21672641095554
TC034116,VNC,4.0993954562785,3.87544293237983,4.2428979140299,4.02545009843205,3.98051972421712,3.85392079189014,3.60052096765257,4.13119513571217,4.26213355369989,4.04715692696534,4.0146380272459,3.15278766724035,3.88134633674179,3.62071482389557,3.72305530680884,3.75675104137306,3.96468875844903,3.78180099019879,3.71810895312412,3.6617728254867
ftz-f1,VNC,6.19910726252151,6.19649084803122,6.24527233141708,6.25297504067036,6.19977276357272,6.09973655268987,6.06760489923015,6.14906777242893,6.20408244918191,6.17311727100101,6.18173098278494,6.03662209248398,6.01139575742001,5.93696699546034,6.03974837645376,6.24465631763728,6.05413619210198,6.11982304909442,6.09368440082353,5.93541190485566
Hexim,VNC,5.97113180738701,5.92341900871214,5.93582246442319,5.95715440409656,6.07234258895383,5.94209812949704,5.98614681183057,5.89425208334492,6.00958254232316,5.96983528155107,5.95087550129973,5.832149523218,5.83618929018629,5.88777540438591,5.85689029741492,5.92743676756304,5.8754448129433,5.87971141492675,5.93187738000229,5.83589986654815
