gene_names,Hox_3,Hox_7,Hox_8,Hox_10,Hox_9,Hox_4,Hox_5,Hox_6,Hox_1,Hox_2,No_hox_9,No_hox_5,No_hox_2,No_hox_3,No_hox_8,No_hox_4,No_hox_6,No_hox_10,No_hox_1,No_hox_7
mor,6.920057745865424,6.915796967970811,6.8639238336261155,6.867978209919887,6.8753163506384665,6.898708196166218,6.861511272690108,6.921142737513249,6.907282014964663,6.883367748434609,6.866352884825244,6.925744026594592,6.8328018453329165,6.879907540750628,6.827936202908353,6.709026000666458,6.825106668150529,6.847626623730783,6.839960491037735,6.744020485843872
CG12605,5.254043677690081,5.247174567053635,5.138372469219721,5.188013917325103,5.188940976832411,5.349948152701562,5.145446284839715,5.192757850928818,5.243463014165951,5.185271627080056,5.11562993169675,5.23901013508043,4.918013836680224,5.010329239459745,5.058276965079637,4.888702751985202,5.088996010441486,4.844174647048691,5.120261981919128,4.896651077573403
TC034819,6.093057486058149,6.139097128943719,6.0930040575468105,6.091304114222057,6.09316530650536,6.160408564286657,6.053435090817064,6.154273279625549,6.174132781401743,6.122528908076338,6.067440879448062,6.017245801829082,5.996028966760307,6.063963640320665,5.998846480199384,5.9433797897602965,5.964368378375299,5.925993558034072,6.025157708547617,5.933258687504161
hkb,5.955595311344327,5.8323487574296475,5.742833086875906,5.750627124913913,5.789985146997482,5.817626355256651,5.855421620032916,5.722718656776186,5.733351976951033,5.596369074820658,5.459236724087016,5.5339146389117175,5.752183401530429,5.581841802059413,5.29706016503158,5.510519851327195,5.542555915330843,5.480482748972448,5.610412363599766,5.45305962943367
kn,7.384394373592258,7.321084220364797,7.094804493396497,7.175725645403628,7.153154365108465,7.198960752597651,7.203659669545987,7.057715339451927,7.050580785692916,7.118067492639763,6.960979649364728,7.050916123568898,7.019885111520104,7.089495314347651,6.89572742696219,7.093665132580503,7.152417975833225,6.9167024946439915,6.979984960404691,6.656879101430044
Cph,7.349356489322819,7.335952516173028,7.262532605299526,7.216613618306155,7.238255583420841,7.3010673882004244,7.3107721713008855,7.23405535670951,7.22278863762357,7.2362438150517665,7.098310840173996,7.14869112419622,7.117352231831253,7.12768525850116,7.000760663660465,7.164633714738737,7.209434105393493,7.190039659096665,7.113400056617711,7.014306353610891
TC011745,3.509394668566651,3.7073783933713997,3.427232927050578,3.469270806034168,3.3765371243093774,3.718055826262785,3.747398300032376,3.7488640660715107,3.6619164757001528,3.6981395098173464,3.0773450834216023,3.2069976524945534,2.8885003806674456,2.807133166167749,2.6671441722430798,2.6363455444327895,2.3108712656423287,3.1234157181374327,3.7890726994400525,2.033664621445974
chn,5.87708669176068,6.0229530219141285,5.893535460622826,5.9407545933808725,5.8831135945401405,5.936587451613647,5.8632118690334245,5.8679368655497415,5.896189265833108,5.73853184166189,5.721296440325262,5.691144749122504,5.745425318659224,5.700136495002895,5.697115334251275,5.671557437884714,5.750572564799619,5.741884862079805,5.803922364717181,5.577718741893935
Kr,5.89277066789881,6.103584328255598,5.6308431983225065,5.974568473070543,5.57281693129213,5.860175220982456,5.859324330511424,5.876823349308276,5.760742487580006,5.839816986032618,5.665526284692099,5.326532028740461,5.331350484819347,5.367968274348242,5.48041009530931,5.339427557927758,5.195139567608859,5.247011600015092,5.586404065597907,5.230986300147395
HLH4C,5.188051286740588,6.151972881216336,5.271170188891308,5.551299822234027,5.564116582010667,5.28500334080286,5.582916467724328,5.747475340467001,5.457397494012747,5.57624210575305,5.2865320241517235,5.091438650821964,5.034983915029762,5.31473579815764,4.888503575893199,5.380057589350101,4.985873199567653,5.258380484691678,5.011255515586709,4.543173116223176
