gene_symbol,Hox_1,Hox_10,Hox_9,Hox_12,Hox_6,Hox_14,Hox_3,Hox_15,Hox_5,Hox_7,Hox_2,Hox_11,Hox_8,Hox_4,Hox_13,No_hox_5,No_hox_9,No_hox_13,No_hox_7,No_hox_11,No_hox_12,No_hox_1,No_hox_14,No_hox_2,No_hox_10,No_hox_3,No_hox_6,No_hox_8,No_hox_4,No_hox_15
Hr39,3.901688208662153,3.8488078347713444,3.8709763239683532,3.859772810757158,3.6560447421904274,3.773559786698529,3.8972555498682135,3.847667415307174,3.830755123374938,3.735787945796623,4.051819721386332,3.774626456263669,3.781252731243221,3.7233816258313723,3.8200401356270297,3.56335121467708,3.4029345914935973,3.4283377341064085,3.6145855416647894,3.6648774207750807,3.3947031144641686,3.5612866308155855,3.4662669182544663,3.713454203529592,3.776686032749929,3.52506415615483,3.620589289168078,3.5297267032106254,3.633448453432547,3.395802882890197
sob,3.2948957060702693,3.8488078347713444,3.656030686348397,3.730967135412507,3.4284450625512215,3.5852518923576375,3.564175113214522,3.7974960929136863,3.609936267451098,3.679223816374746,3.5558196620560074,3.7616871248595487,3.6987045691294487,3.852164701537094,3.6213802034924574,3.3968013258775285,3.274145575519166,3.170006049641645,2.992143617599724,3.1563571520395164,2.788100978406328,2.896145842282177,3.2238367393754253,3.320111876074702,3.2146992431254455,2.7619181444142145,3.0365140996312916,3.2347595362898725,3.170006049641645,2.4693254988053717
slou,3.1817359554449323,3.085595270744122,3.137419477397817,3.644884666517079,3.372120503332019,3.812404773789207,3.5475688423556107,2.9628696787155073,3.6552258186020388,3.0526958803826756,3.3356947595538067,3.0525876509091683,3.4745785141365504,3.559464432000348,3.605558041223361,2.1062175855213803,2.618148884654897,2.444657209687746,2.692332437402997,1.8227444895711185,2.788100978406328,1.4863312685873886,2.263410958957844,2.3977854461905106,2.254886952391813,2.026988417836464,2.8637471376000763,2.273607232651343,2.71041165205985,1.030480670353235
Stat92E,4.810491999885185,4.954376330994078,4.829467863637234,5.092096820135926,4.992670344314361,4.978616936715352,4.784422649895111,5.08152218518131,4.8979039283313455,5.064771752049638,5.075973996684222,4.835823713978785,5.0098997285747835,5.1257921437786695,5.068161160036092,4.552004880382353,4.6663977860936425,4.714287121574047,4.61317859623075,4.5835172361086265,4.614853965136382,4.479965109806884,4.385341870923563,4.5642286400477765,4.7480445558034265,4.698247344436385,4.655108325883927,4.396573974420657,4.790000599432794,4.429756441523054
ttk,5.44125214966894,5.501272146564316,5.616093429921634,5.530217587640269,5.440790713765745,5.613227371732111,5.605777545757447,5.722120741240052,5.530123395278615,5.422099786370382,5.51943281331336,5.646791436602147,5.580400709005351,5.634238335354825,5.571267771300637,5.0850035836586125,5.283721821560854,5.240287357296761,5.070851251777329,4.731136889983587,4.916740068045366,4.861994179018513,5.336479731610969,5.303184699207562,5.28465929257784,5.401798070160745,5.382220705651153,5.305445567711073,5.057165972820521,5.061391091140873
grh,5.846940330720726,5.9158864505333195,5.918067453438261,6.083566334372157,5.887859270475791,5.932020612940756,5.945165713948172,6.044962201317755,5.9596307590314,6.020876491077214,6.037869693701207,6.0654912242777685,6.014772910309097,6.107978759050822,6.105315931129613,5.699457988360567,5.662578795142654,5.521978700858128,5.646169509573204,5.0866911713915135,5.352393145871813,5.489638726780335,5.431352289926325,5.781651356095192,5.668004962740176,5.790766955737615,5.56250751169895,5.5566181538540595,5.73586301262541,5.555842998740265
luna,6.10940753515035,6.205707137569744,6.092364952283972,6.1842419556192185,6.123170875953516,6.160111266858622,6.056035514352161,6.119580358614855,6.106016209051447,6.172478517360607,6.2357257385002045,6.078414893587241,6.194325277083836,6.171744810747643,6.138793851694198,5.939902406414645,6.104071955483843,5.77474168375013,5.897374376022639,5.6328831094780485,5.813558505233833,5.797276751643005,5.98041656374166,5.911579095829451,5.9621731638307445,6.015312425371908,5.715202259130659,5.712139253146226,6.011336890110891,5.823197204770843
psq,6.526039358130412,6.544523694377308,6.561848697439095,6.616253480135031,6.567038046092034,6.529426116190608,6.546083269847292,6.493112787733351,6.521715408398783,6.559444391187988,6.574377982362174,6.5465943938744235,6.567048763335822,6.548382726730587,6.556131996317428,6.483333206778817,6.444533392646815,6.368996019120058,6.471240346200134,6.2602337277117615,6.366813072931914,6.337603706685951,6.429101179898991,6.428523015849835,6.391394760813076,6.443830553569249,6.364923758834023,6.38027857346413,6.374991780378721,6.271190446345144
inv,4.439067612111573,4.437011277215991,4.437182026586046,4.369419938466191,4.434324338297253,4.481517880008343,4.479942652925287,4.432767049585429,4.543815180899892,4.388712697976344,4.529062184670354,4.4627160276055005,4.372109444214956,4.478110869993642,4.552902205359311,4.041867059517956,4.079304071978269,3.9145023826784966,4.195529339019817,3.8649184595711072,4.070932740089915,3.989412212093193,4.027872226023116,4.262560768758914,4.354243467890327,3.8530865307722078,3.986882902809608,4.208108953733088,3.9821643372965565,3.975372642902686
sens,4.4043978799211425,4.6232352920335495,4.601356349777925,4.679103079193247,4.808648808012713,4.494442986834624,4.411759029845027,4.530092604623878,4.335360878452088,4.402924038223296,4.374636118255601,4.617987613676463,4.780675437722972,4.655295917008118,4.773936217029304,3.120217503084476,3.517013500155513,1.8347070203924956,2.802562264168953,2.06919258613972,2.6779807538955267,1.8134019466426805,2.693635608453486,3.320111876074702,3.921942632602759,2.5284914809887855,3.112857517351722,3.004277428189052,3.6787666152183673,1.857428233106769
