gene_symbol,Hox_6,Hox_3,Hox_1,Hox_4,Hox_2,Hox_10,Hox_5,Hox_9,Hox_7,Hox_8,No_hox_4,No_hox_2,No_hox_6,No_hox_10,No_hox_9,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_3
btn,4.483534308670859,4.2264341763894615,3.389174251997445,3.3193532630475873,4.086831512192042,3.824559731144175,4.201497934711661,3.529038929720717,3.9932384400003835,3.392035184017498,2.4367415297228803,1.8355519179835313,2.8767992664779416,1.8235944376711701,1.0151993004335698,2.2648374625611907,1.8302416906101695,2.242198419251376,2.693347244646586,2.2815209884093672
gsb,7.001136418884335,7.141671632549571,7.079461957298087,6.994341370581565,7.114765383732681,7.114688218547443,7.039069050452337,7.115646565392058,7.07596015375711,7.026360562950807,6.679415475370941,6.884942936418091,6.75963520245192,6.883212751951287,6.742312482390387,6.70396130978571,6.5695003791375255,6.52827535856432,6.747564243305954,6.608337296658669
Dsp1,8.475133147626744,8.480678363247252,8.469339674542478,8.463401311933556,8.479450395157478,8.466018593307457,8.4599653925182,8.466893149747508,8.475986710533764,8.492406907428839,8.419650712082888,8.454320760954129,8.42596023346298,8.392590721780259,8.405407639802345,8.424130393196698,8.39854786627703,8.384723619610327,8.410415786797943,8.359823520808897
pnr,3.1367097030599242,3.406579590471942,3.796276025305355,3.7542282705444556,3.599768596913332,3.9863122937357716,3.2815089136418814,3.6093999082137556,3.4473578169401042,3.2466736562576335,2.074070227187374,2.445575373462668,2.6676362117751125,2.8083327367200126,2.2823381982223503,2.067324355199494,2.9151354632590842,2.4066572633233267,1.8193585691218916,1.507764984066739
Poxn,4.145198956680934,4.344450212270127,4.0554322404404655,4.239075596847333,4.221877446838588,4.152971461370242,3.824891573630675,4.099927664658472,3.803793175188078,3.996935393697956,2.9119626384989434,3.5371187784846554,3.634057845227642,3.5232928027778065,2.92311501754009,2.8053708892670564,3.1649139295942863,3.0536997570423914,3.1524897197097905,2.446674556378445
gsb-n,5.437000594258832,5.558581350688215,5.560369469444738,5.469355090936859,5.601356135462996,5.485417960435502,5.510448428463611,5.531835456204986,5.459496225811811,5.504310030119626,5.277093991026668,5.411811668176746,5.3651265375753345,5.236372695649045,5.243389756089432,5.242404962363481,5.381721795066979,5.296167586494197,5.3109775622431705,5.2967626580115095
bnl,5.740069672245359,5.626729219291637,5.720876753344268,5.752311549891711,5.784828056983365,5.804906050478895,5.757453902675519,5.713120256856092,5.699567941415489,5.685563172866914,4.606562333655923,5.363636435704566,4.787301338843473,4.584520551562511,4.701521918271926,4.449331029262042,5.315347604400275,4.98169299132641,5.050093331396564,4.38357615197757
Awh,4.361572825892638,4.267340057244699,4.431533812729975,4.400683829089855,4.196287966832375,4.3783869693257635,4.324384174875966,4.3786986724662045,4.313525482357185,4.349144337459103,3.973655779846672,4.076766338891029,4.000464300987917,3.7507424106863754,4.191422808327448,3.998260658073318,4.0091327703831,3.801154533565902,3.9309698814564853,3.9843319766954037
Kah,3.614922554778059,3.3679265822081836,3.3294499281494585,3.7542282705444556,3.483439731052822,3.7188376736278363,3.8864739764235168,3.4416512838463347,3.5532589561390986,3.102680296201303,1.8274255566885953,2.2804405253013766,1.7962831681174567,1.0047999866175545,1.8373286075716813,2.067324355199494,1.0098288591851814,1.473756047704322,1.0015996592462562,1.507764984066739
scrt,8.229584183706312,8.259186587726052,8.228333155084572,8.240585506847822,8.252207425428928,8.219280335776338,8.229574260230834,8.247156199608218,8.24081498606962,8.243151352032227,8.17495160474225,8.137488462632884,8.104877397171872,8.113964139770204,8.173921024764308,8.11340074595971,8.18319182845402,8.088112497803149,8.107356253859027,8.155493797143508
